epoch,acc,loss,val_acc,val_loss
0,0.9616508924106356,0.12524000439541458,0.7337499991059303,1.992773899435997
1,0.9704208934284241,0.09643441868860883,0.6924999937415123,2.1442807763814926
2,0.9722440477135202,0.08731666058263282,0.7237499952316284,2.0050192803144453
3,0.9770848375524941,0.07085193366477603,0.7399999916553497,1.9919317185878753
4,0.9785307880783884,0.06685815969807615,0.7437500074505806,2.0308669716119767
5,0.9797567030921336,0.06330028598560135,0.7224999964237213,2.0258572161197663
6,0.9810454840219875,0.060364958061096735,0.7474999964237213,1.9825448602437974
7,0.9780592816228917,0.06755049486236445,0.7299999997019768,2.0986929446458817
8,0.9810454834037016,0.059738243105023715,0.7287499949336051,2.1152123391628264
9,0.9830886743813111,0.05416853955391781,0.7374999955296516,2.080721136927605
10,0.9833715768775176,0.05203634269827529,0.7187499970197677,2.2044713288545608
11,0.984031685634174,0.04839278157256201,0.7250000029802323,2.1332178950309753
12,0.9834658782529286,0.0515866959358774,0.7337499961256981,2.088369035720825
