epoch,acc,loss,val_acc,val_loss
0,0.8467207069566973,0.5323170874215468,0.721250006556511,1.4115277230739594
1,0.916118212015272,0.27593337351242486,0.7200000017881394,1.5002601474523545
2,0.9395217662378269,0.19121199148475096,0.7512499988079071,1.3142616629600525
3,0.9481869265529896,0.1646307299235785,0.7525000005960465,1.4038638383150102
4,0.9510837835971486,0.15447280518888581,0.7299999982118607,1.6446247667074203
5,0.9591136682797814,0.13010345987689334,0.7387499958276749,1.6359842598438263
6,0.9619088808429913,0.12129691402570723,0.7512500017881394,1.5756611377000809
7,0.9674993073522546,0.10281783755496363,0.7349999994039536,1.6668668925762176
8,0.9696592454946266,0.0977663184308748,0.7299999952316284,1.675757783651352
9,0.9693543123441,0.09569515090049659,0.7487500011920929,1.599058449268341
