epoch,acc,loss,val_acc,val_loss
0,0.935729179813223,0.20407496962138677,0.749999999254942,1.4405908598040695
1,0.9448890506983844,0.17701709574235625,0.743750000745058,1.5785833461130097
2,0.9493267526216035,0.15730866279358813,0.7375000014901161,1.6371615604311955
3,0.9458183129168813,0.16988873223328013,0.7487499997019768,1.5960330230751425
4,0.9558505532118936,0.13900220307261546,0.7537500012665987,1.713083977487986
5,0.9505973766091063,0.15621339505719511,0.756250000372529,1.6432416447642026
6,0.955907446811802,0.13650603693008284,0.73625000230968,1.7217406532392487
7,0.9608002975342872,0.12325509475022037,0.7412500012665987,1.7554716068734706
8,0.9607244395744002,0.12673421641736865,0.756250000372529,1.6987355580320582
9,0.9607434040700239,0.1228919259699524,0.7625000011175871,1.6384589445247457
10,0.9641190916497635,0.11389342763389265,0.7662500012665987,1.721906186796332
11,0.9596624253778695,0.13154399791304203,0.7612499974668026,1.6073479316648445
12,0.9676654602892142,0.10457566479502525,0.7787499997764826,1.7004750803323987
13,0.9634742976794902,0.11697085339251621,0.7612499997019768,1.8082879032696837
14,0.9673620278618716,0.10190345319704516,0.7525000009685755,1.759542042414978
15,0.9664138009442836,0.10653651105786384,0.7549999989569187,1.8438271489108957
16,0.9661672617777372,0.10898713450754065,0.743749999627471,1.8157961868513666
17,0.9717997299433433,0.08991706500194932,0.741250004246831,1.8635887963726419
18,0.9665844817779197,0.10404249152674515,0.7587500002235175,1.787166777206585
